participant;adaptation;frustration;taskcompletiontime;pressure
1;A;N;12.19;3
2;B;N;33.57;3
3;C;N;17.8;4
4;D;N;17.4;4
5;A;N;13.65;2
6;B;N;12.96;2
7;C;N;3.1;2
8;D;N;50.16;2
9;A;N;46.41;1
10;B;N;15.84;1
11;C;N;48.67;2
12;D;N;87.66;2
13;A;N;58.7;2
14;B;N;10.44;1
15;C;N;16.72;1
16;D;N;20.52;2
17;A;N;75.66;1
18;B;N;27.27;4
19;C;N;73.84;2
20;D;N;33.48;2
21;A;N;83.17;1
22;B;N;44.01;1
23;C;N;73.84;2
24;D;N;50.1;1
25;A;N;3.41;1
26;B;N;7.65;3
27;C;N;30.93;1
28;D;N;4.08;4
29;A;N;20.38;3
30;B;N;14.03;1
31;C;N;26.72;1
32;D;N;25.26;1
33;A;Y;79.89;4
34;B;Y;29.25;2
35;C;Y;30.87;2
36;D;Y;60.84;4
37;A;Y;18.59;4
38;B;Y;20.67;2
39;C;Y;22.72;1
40;D;Y;23.07;1
41;A;Y;29.16;5
42;B;Y;24.24;2
43;C;Y;11.18;5
44;D;Y;20.58;1
45;A;Y;11.04;2
46;B;Y;56.7;2
47;C;Y;5.58;2
48;D;Y;8.21;4
49;A;Y;2.52;4
50;B;Y;17.78;5
51;C;Y;1.75;2
52;D;Y;1.44;2
53;A;Y;15.4;3
54;B;Y;2.09;4
55;C;Y;5.71;2
56;D;Y;14.84;2
57;A;Y;5.96;2
58;B;Y;17.24;3
59;C;Y;20.24;3
60;D;Y;14.64;1
61;A;Y;18.52;5
62;B;Y;12.4;1
63;C;Y;4.16;4
64;D;Y;14.29;3
